Glyph Code: 4d32e6d9cce998f1917a4b90493250a3, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (43.224, 709.3), Page: 0
Glyph Code: 6a0324cfaac680064d0c63dfe80fdc99, Text:  , Unicode: 32, Font Size: 11.039999999999992, Position: (36.024, 237.55), Page: 0
Glyph Code: 2e495dccc0d70e9d90a6060b053ad2fa, Text: H, Unicode: 72, Font Size: 11.039999999999964, Position: (36.024, 749.88), Page: 0
Glyph Code: 81d38d4d2def360a11dbbaa23d27106d, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (42.96816, 749.88), Page: 0
Glyph Code: 45dc9314837afbe175ed4733fc216e3d, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (45.59568, 749.88), Page: 0
Glyph Code: a5d857a488d6e7b915b6a04983b4a609, Text: d, Unicode: 100, Font Size: 11.039999999999964, Position: (51.35856, 749.88), Page: 0
Glyph Code: d4be7e437507c4f30c63d59e7008b8f2, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (57.12143999999999, 749.88), Page: 0
Glyph Code: 93eaed616fec72ee8fdc3a14f9a67fa5, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (59.74896, 749.88), Page: 0
Glyph Code: 3e305424b0bb639c5f97ab1ca478479a, Text: I, Unicode: 73, Font Size: 11.039999999999964, Position: (62.144639999999995, 749.88), Page: 0
Glyph Code: 95a2c9aa2307469b8589eca5462c7964, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (65.01504, 749.88), Page: 0
Glyph Code: 3a498da0c5aa63a9411b4ee578ef03a6, Text: d, Unicode: 100, Font Size: 11.039999999999964, Position: (70.77792, 749.88), Page: 0
Glyph Code: 2536c7279a9d7df028e7e2f71d45dc8e, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (76.29791999999999, 749.88), Page: 0
Glyph Code: 71161fa6f1cc1fa80e3fae57d5a9bf11, Text: c, Unicode: 99, Font Size: 11.039999999999964, Position: (78.92544, 749.88), Page: 0
Glyph Code: d5cd09a250bc6eceea7e8b40d893eca4, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (83.48496, 749.88), Page: 0
Glyph Code: 2176f3cc9b330db0bf57eb05de274b0a, Text: I, Unicode: 73, Font Size: 11.039999999999964, Position: (85.88064, 749.88), Page: 0
